"Front","Back","Why","When","Tradeoffs","Trap","Scenario","Topic","Subtopics","IntrinsicDifficulty"
"How do you design a system for high availability across multiple regions?","You deploy services across regions with replication and failover so traffic can shift when one region fails, preventing full outages.","Regional outages are real, and without redundancy all users lose access.","Use for global or mission-critical systems.","Improves resilience and latency for global users but increases cost, coordination, and consistency complexity.","Mistake: assuming one region is enough. Why wrong: regions can fail entirely. Consequence: total system outage.","A SaaS app fails over traffic to another region during an outage.","system-design","availability,redundancy","4"
"What is a single point of failure and how do you remove it?","A single point of failure is any component whose failure stops the system; removing it requires redundancy and automated failover.","It matters because one weak component can take down an otherwise distributed system.","Use redundancy for critical dependencies.","Improves uptime but increases cost and operational complexity.","Mistake: missing hidden dependencies. Why wrong: unnoticed SPOFs remain. Consequence: unexpected outages.","A single database instance causes downtime when it crashes.","system-design","availability,fault-tolerance","3"
"What is the circuit breaker pattern and why is it important?","A circuit breaker stops calls to failing services after a threshold, preventing cascading failures and giving the dependency time to recover.","It matters because repeated failures can overload both caller and dependency.","Use when calling unreliable services.","Improves stability but may temporarily reject valid requests.","Mistake: infinite retries. Why wrong: amplifies load on failing service. Consequence: cascading outage.","API stops calling failing payment service.","system-design","fault-tolerance,reliability","4"
"What is failover and how should it be designed?","Failover switches traffic to a backup system when the primary fails, ensuring continuity if designed and tested properly.","It matters because redundancy alone is useless without working failover.","Use active-passive or active-active setups.","Improves availability but adds complexity and testing requirements.","Mistake: untested failover. Why wrong: hidden gaps appear during failure. Consequence: downtime.","Replica database takes over when primary fails.","system-design","availability,fault-tolerance","4"
"What is eventual consistency and when is it acceptable?","Eventual consistency allows temporary differences between replicas so systems remain available and scale, with data converging later.","It matters because strict consistency limits scalability.","Use for non-critical or read-heavy data.","Improves availability but risks stale reads.","Mistake: using for critical data. Why wrong: delays can break correctness. Consequence: inconsistent user experience.","Social feeds tolerate delayed updates.","system-design","consistency,scalability","4"
"What is strong consistency and when is it required?","Strong consistency ensures every read reflects the latest write, guaranteeing correctness across nodes.","It matters because some systems cannot tolerate stale data.","Use in financial or critical workflows.","Improves correctness but reduces availability and increases latency.","Mistake: using everywhere. Why wrong: unnecessary coordination cost. Consequence: reduced scalability.","Bank balances must always be accurate.","system-design","consistency","4"
"What is request hedging and how does it reduce latency?","Request hedging sends duplicate requests and uses the fastest response, reducing tail latency from slow instances.","It matters because outliers dominate user experience.","Use in latency-sensitive systems.","Improves responsiveness but increases resource usage.","Mistake: overusing hedging. Why wrong: duplicates increase load. Consequence: wasted capacity.","Search requests sent to multiple replicas.","system-design","latency,performance","5"
"What is a load shedding strategy?","Load shedding drops excess or low-priority requests when capacity is exceeded to protect system stability.","It matters because accepting all traffic can crash the system.","Use under overload conditions.","Maintains stability but sacrifices some requests.","Mistake: processing all traffic. Why wrong: system overload. Consequence: full outage.","Dropping low-priority requests during spikes.","system-design","availability,backpressure","4"
"What is a CDN and how does it improve performance?","A CDN caches content at edge locations near users, reducing latency and offloading origin servers.","It matters because distance and load increase response time.","Use for static and cacheable content.","Improves speed but adds cache invalidation complexity.","Mistake: caching dynamic data incorrectly. Why wrong: stale responses. Consequence: incorrect content.","Images served from edge nodes.","system-design","caching,latency","3"
"What is request batching and when should you use it?","Batching combines multiple requests into one to reduce overhead and improve throughput.","It matters because network and processing overhead accumulate.","Use in high-throughput systems.","Improves efficiency but increases per-request latency.","Mistake: batching everything. Why wrong: delays responses. Consequence: slower user experience.","Batching database writes improves throughput.","system-design","throughput,performance","4"
"What is idempotency and why is it critical in distributed systems?","Idempotency ensures repeated requests produce the same result, enabling safe retries without side effects.","It matters because retries are common in unreliable networks.","Use for APIs with retries.","Improves reliability but requires careful design.","Mistake: ignoring idempotency. Why wrong: duplicate effects occur. Consequence: inconsistent state.","Duplicate payment requests must not double charge.","system-design","reliability,consistency","4"
"What is a hot spot in distributed systems?","A hot spot occurs when uneven traffic concentrates on one node or partition, creating a bottleneck.","It matters because uneven load limits scalability.","Use balanced distribution strategies.","Improves scaling but requires careful key design.","Mistake: poor partitioning key. Why wrong: uneven load. Consequence: bottlenecks.","All traffic routed to one shard.","system-design","scalability,performance","4"
"What is service discovery and why is it needed?","Service discovery allows dynamic lookup of service instances so systems can scale without hardcoded endpoints.","It matters because static configurations break in dynamic environments.","Use in microservices systems.","Improves flexibility but adds infrastructure complexity.","Mistake: hardcoding endpoints. Why wrong: breaks scaling. Consequence: brittle system.","Using service registry like Consul.","system-design","scalability,architecture","3"
"What is a retry strategy and how should it be implemented?","Retries reattempt failed requests with controlled backoff to handle transient failures without overwhelming systems.","It matters because naive retries amplify failures.","Use exponential backoff and limits.","Improves resilience but can increase load.","Mistake: aggressive retries. Why wrong: amplifies failure. Consequence: cascading issues.","Retry API calls with delay.","system-design","reliability,backpressure","4"
"What is exponential backoff and why is it important?","Exponential backoff increases retry delays to reduce pressure on failing systems.","It matters because immediate retries create retry storms.","Use in distributed retries.","Improves stability but increases latency.","Mistake: constant retries. Why wrong: overload. Consequence: system collapse.","Retry delays grow over time.","system-design","backpressure,reliability","4"
"What is a fan-out pattern and what risks does it introduce?","Fan-out sends requests to multiple services in parallel, improving speed but increasing dependency risk.","It matters because more dependencies increase failure probability.","Use for aggregation queries.","Improves latency but increases failure surface.","Mistake: ignoring partial failures. Why wrong: one failure blocks result. Consequence: degraded reliability.","Aggregating data from multiple services.","system-design","latency,scalability","4"
"What is bulkheading and how does it improve resilience?","Bulkheading isolates resources so failures in one component do not affect others.","It matters because shared resources create cascading failures.","Use in critical systems.","Improves isolation but increases complexity.","Mistake: shared resources. Why wrong: failures spread. Consequence: widespread outage.","Separate thread pools per service.","system-design","fault-tolerance,reliability","4"
"What is throttling and how is it different from rate limiting?","Throttling dynamically adjusts traffic based on system health, while rate limiting enforces fixed limits.","It matters because static limits cannot adapt to real-time conditions.","Use for dynamic protection.","Improves flexibility but adds complexity.","Mistake: treating them as same. Why wrong: different behaviors. Consequence: poor protection.","Reduce traffic when CPU spikes.","system-design","rate-limiting,backpressure","4"
"What is a distributed cache and when should you use it?","A distributed cache shares cached data across nodes, improving scalability and consistency across instances.","It matters because local caches cause inconsistencies.","Use in large distributed systems.","Improves performance but adds coordination overhead.","Mistake: local-only cache. Why wrong: inconsistent data. Consequence: cache misses.","Redis cluster used for caching.","system-design","caching,scalability","3"
"What is data partitioning and why is it important?","Partitioning splits data across nodes to distribute load and improve scalability.","It matters because single-node limits restrict growth.","Use for large datasets.","Improves scale but complicates queries.","Mistake: poor partition strategy. Why wrong: uneven load. Consequence: bottlenecks.","Sharding users across databases.","system-design","scalability,partitioning","4"
"What is queue-based buffering and why does it help under bursty load?","Queue-based buffering decouples producers from consumers so incoming spikes are absorbed and processed later, preventing immediate overload of downstream systems.","It matters because burst traffic can overwhelm dependencies even if average load is safe.","Use for async, bursty, or delay-tolerant workloads.","Improves resilience and smoothing but introduces latency, backlog risk, and eventual consistency.","Mistake: treating queues as infinite buffers. Why wrong: if processing < arrival rate, backlog grows unbounded. Consequence: delays, timeouts, or dropped work.","Order service accepts requests instantly and processes emails asynchronously.","system-design","throughput,backpressure","4"
"What is a backlog and how do you reason about it in system design?","A backlog is queued work waiting to be processed, representing how far the system is behind real-time demand.","It matters because backlog growth signals throughput issues before failures appear.","Use in queues, worker systems, and pipelines.","Helps capacity planning but can hide issues if traffic temporarily drops.","Mistake: only monitoring success rates. Why wrong: system can be falling behind silently. Consequence: delayed results surface later.","Video processing jobs pile up while workers lag behind.","system-design","throughput,reliability","4"
"What is active-active versus active-passive redundancy?","Active-active serves traffic from multiple live nodes simultaneously, while active-passive keeps standby systems for failover.","It matters because the model determines failover speed and complexity.","Use active-active for low-latency global systems, active-passive for simpler recovery.","Active-active improves availability and utilization but complicates consistency; active-passive is simpler but slower to recover.","Mistake: using active-active without managing state consistency. Why wrong: concurrent updates conflict. Consequence: data inconsistency or failover issues.","Global apps use active-active, payment systems often use active-passive.","system-design","redundancy,availability","4"
"What is quorum and when is it useful in highly available systems?","Quorum requires a majority of nodes to agree before accepting operations, preventing decisions from isolated or outdated nodes.","It matters because it balances consistency with fault tolerance.","Use in replicated databases and consensus systems.","Improves correctness but increases latency and can reduce availability.","Mistake: assuming more nodes means always more availability. Why wrong: quorum still needs majority. Consequence: system stalls under partial failure.","Database requires majority write acknowledgments.","system-design","availability,consistency","5"
"What is consensus and why is it harder than simple replication?","Consensus ensures nodes agree on a single authoritative order of operations, even under failure, not just copying data.","It matters because coordination is required for correctness in distributed systems.","Use for leader election and strongly consistent systems.","Ensures correctness but adds latency and complexity.","Mistake: treating replication as consensus. Why wrong: replication alone does not resolve conflicts. Consequence: inconsistent system state.","Raft ensures only one leader writes changes.","system-design","fault-tolerance,consistency","5"
"What is graceful degradation versus fail-fast behavior?","Graceful degradation keeps partial functionality under stress, while fail-fast rejects work early to avoid corruption or overload.","It matters because different failures require different responses.","Use degradation for optional features, fail-fast for critical correctness.","Degradation preserves usability but reduces quality; fail-fast protects integrity but disrupts users.","Mistake: applying one pattern universally. Why wrong: not all failures are equal. Consequence: either unnecessary outages or hidden errors.","Media site drops recommendations, payment service rejects unsafe requests.","system-design","fault-tolerance,availability","4"
"How does autoscaling help, and what problems does it not solve?","Autoscaling adjusts capacity based on load, helping absorb demand changes but not fixing bottlenecks or slow dependencies.","It matters because scaling compute alone does not fix system design flaws.","Use for stateless workloads with clear metrics.","Improves elasticity but cannot solve shared resource limits.","Mistake: assuming autoscaling solves all scaling issues. Why wrong: bottlenecks remain. Consequence: failures persist despite scaling.","API scales but database still limits throughput.","system-design","scalability,availability","4"
"What is load balancing health checking and why can bad health checks cause outages?","Health checks determine which nodes receive traffic, so incorrect checks can route traffic to failing nodes or remove healthy ones.","It matters because routing decisions directly impact availability.","Use in load balancers and service meshes.","Fast detection improves failover but overly strict checks cause instability.","Mistake: shallow or overly strict checks. Why wrong: misclassifies nodes. Consequence: traffic routed incorrectly.","Service reports healthy despite DB outage.","system-design","load-balancing,reliability","4"
"What is tail drop versus priority shedding in overload control?","Tail drop rejects requests after capacity is full, while priority shedding drops lower-value work first to protect critical operations.","It matters because not all traffic has equal value.","Use priority shedding for mixed workloads.","Tail drop is simple but blunt; priority shedding is smarter but complex.","Mistake: treating all traffic equally. Why wrong: critical work gets dropped. Consequence: business impact.","Checkout requests preserved while analytics dropped.","system-design","backpressure,availability","4"
"What is the difference between synchronous and asynchronous workflows in system design?","Synchronous workflows block until completion, while asynchronous workflows defer processing to background systems.","It matters because this choice impacts latency, reliability, and scalability.","Use sync for immediate results, async for long-running tasks.","Sync is simpler but fragile; async improves resilience but adds complexity.","Mistake: making everything synchronous. Why wrong: long tasks block resources. Consequence: timeouts and poor performance.","Video upload is async, validation is sync.","system-design","latency,throughput","4"
"What is head-of-line blocking and where does it show up in system design?","Head-of-line blocking occurs when a slow request delays all subsequent work in a shared queue or resource.","It matters because it increases latency even when capacity exists.","Use isolation or prioritization to prevent it.","Shared queues are simple but can create unfair delays.","Mistake: mixing workloads. Why wrong: slow tasks block fast ones. Consequence: latency spikes.","Heavy jobs block lightweight requests.","system-design","latency,throughput","4"
"What is a bottleneck, and why does optimizing the wrong layer waste effort?","A bottleneck is the component limiting system throughput, so optimizing non-limiting parts has little impact.","It matters because effort must target the true constraint.","Use metrics to identify bottlenecks.","Fixing bottlenecks improves performance but may shift them elsewhere.","Mistake: optimizing visible components. Why wrong: not actual constraint. Consequence: no improvement.","Scaling servers doesn’t help if DB is bottleneck.","system-design","throughput,performance","3"
"What is redundancy at the network edge, and why is it different from server redundancy?","Edge redundancy duplicates ingress points like DNS and load balancers, ensuring users can reach the system even if entry paths fail.","It matters because compute redundancy is useless if traffic cannot reach it.","Use for internet-facing systems.","Improves availability but adds network complexity.","Mistake: only adding server redundancy. Why wrong: ingress can still fail. Consequence: full outage.","Single load balancer failure blocks access.","system-design","redundancy,availability","4"
"What is read-heavy versus write-heavy design pressure, and why does it matter for caching and scaling?","Read-heavy systems optimize for fast retrieval, while write-heavy systems optimize for ingestion and durability, requiring different architectures.","It matters because optimizations differ drastically.","Use caching for reads, buffering for writes.","Read optimizations hurt writes and vice versa.","Mistake: applying read strategies to write-heavy systems. Why wrong: doesn’t address bottleneck. Consequence: poor performance.","Caching helps feeds, not ingestion pipelines.","system-design","throughput,caching","4"
"What is request coalescing and why does it help under load?","Request coalescing merges identical in-flight requests so only one backend call is made, reducing duplicate work.","It matters because hot keys can overwhelm systems.","Use for caching and expensive reads.","Improves efficiency but adds coordination complexity.","Mistake: allowing duplicate work. Why wrong: multiplies load. Consequence: system overload.","Many users request same uncached resource.","system-design","caching,throughput","4"
"What is a rate limit budget and why is it better than a vague 'protect the API' goal?","A rate limit budget defines explicit limits tied to system capacity, ensuring fair and predictable usage.","It matters because vague limits fail to protect systems effectively.","Use in multi-tenant APIs.","Improves fairness but requires tuning.","Mistake: arbitrary limits. Why wrong: not aligned with capacity. Consequence: overload or blocked users.","API assigns per-tenant request quotas.","system-design","rate-limiting,reliability","4"
"What is a retry storm and how do you prevent it?","A retry storm occurs when many clients retry simultaneously, overwhelming a failing system and delaying recovery.","It matters because retries can amplify failures.","Use backoff, jitter, and limits.","Improves resilience but adds latency.","Mistake: immediate retries. Why wrong: synchronized load spike. Consequence: extended outage.","Clients retry failed requests instantly.","system-design","backpressure,reliability","4"
"What is overprovisioning, and when is it a rational design choice?","Overprovisioning keeps extra capacity available to handle spikes and failures without relying solely on scaling.","It matters because scaling may not react fast enough.","Use for critical systems.","Improves resilience but increases cost.","Mistake: optimizing only for average load. Why wrong: ignores spikes. Consequence: failures under peak.","Login service maintains spare capacity.","system-design","availability,scalability","3"
"What is dependency isolation, and why does it matter more as systems grow?","Dependency isolation separates resources so failures in one dependency do not consume all capacity.","It matters because shared resources amplify failures.","Use separate pools and limits.","Improves resilience but adds complexity.","Mistake: shared resource pools. Why wrong: one failure spreads. Consequence: system-wide outage.","Separate pools for payment vs recommendations.","system-design","fault-tolerance,reliability","5"
"What is availability budget thinking, and how does it change system design choices?","Availability budgets define acceptable downtime targets, guiding how much redundancy and complexity to invest in.","It matters because vague goals lead to inconsistent design decisions.","Use when setting SLOs.","Improves prioritization but increases cost at higher targets.","Mistake: vague availability goals. Why wrong: unclear tradeoffs. Consequence: over/under engineering.","Critical systems require higher availability targets.","system-design","availability,reliability","5"